Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56
162.17,-7.7952,1.5011,-1,-0.055245,0.16626,0.075063,0.13969,0.15623,0.20199,0.32415,0.48197,0.32933,0.28089,0.54452,1.0876,0.24659,0.0071615,0.15188,0.072706,0.13858,0.26094,0.43577,0.17043,0.3586,0.27095,0.36003,0.1805,0.28024,0.2503,0.21196,0.34306,0.42226,0.32563,0.21887,0.20366,0.51418,0.44272,0.48785,0.70999,0.25402,0.69563,0.49488,0.33611,0.57511,0.4974,0.4547,0.74816,0.41328,0.61388,0.53267,0.1993,0.46991,0.28378,0.352,0.4142,0.10977,0.1967,0.27338,0.47325
162.33,-7.8004,1.5095,1,0.011414,0.1661,0.09367,0.061865,0.1486,0.22685,0.40346,0.51823,0.35618,0.32757,0.55771,1.0324,0.35263,0.058704,0.16317,0.081744,0.10216,0.21046,0.39743,0.15103,0.13694,0.27371,0.24205,0.15736,0.22228,0.13611,0.1363,0.26389,0.35398,0.3112,0.16037,0.080901,0.35517,0.37399,0.46256,0.68448,0.21579,0.73131,0.488,0.3311,0.56221,0.39628,0.39235,0.72583,0.43106,0.63833,0.49396,0.22869,0.51281,0.25685,0.28446,0.45498,0.19049,0.27366,0.33432,0.49872
162.5,-7.8088,1.5238,1,0.075732,0.16595,0.13246,0.026627,0.17285,0.25536,0.47552,0.55448,0.38129,0.38416,0.54955,0.97718,0.50672,0.11466,0.099838,0.097053,0.13518,0.1628,0.3627,0.13687,0.1024,0.28692,0.13103,0.11939,0.14538,0.041959,0.050994,0.18472,0.29803,0.3248,0.10186,-0.021427,0.21266,0.30393,0.44716,0.67386,0.20294,0.76564,0.50944,0.30605,0.53513,0.32655,0.35398,0.68682,0.41097,0.68287,0.47436,0.21996,0.52061,0.26398,0.22237,0.49576,0.27143,0.35039,0.37918,0.50373
162.67,-7.8061,1.5305,1,0.16924,0.16584,0.17214,0.031126,0.23115,0.28611,0.43912,0.57911,0.38374,0.43544,0.56274,0.83264,0.62511,0.18867,0.10545,0.12993,0.17158,0.17517,0.33633,0.1276,0.13875,0.31736,0.09531,0.11639,0.15124,0.033947,0.044087,0.1845,0.34298,0.094976,0.085062,-0.025092,0.14899,0.25926,0.48741,0.71167,0.23307,0.73756,0.53799,0.28334,0.50648,0.2691,0.34269,0.73158,0.37509,0.60546,0.45776,0.21123,0.51245,0.25945,0.15585,0.50017,0.32204,0.39712,0.42414,0.52284
162.83,-7.8042,1.5267,1,0.26371,0.16577,0.20799,0.059867,0.2971,0.30796,0.39819,0.52943,0.38481,0.4519,0.53371,0.72279,0.70904,0.2224,0.11106,0.15378,0.23966,0.20223,0.36359,0.15351,0.15976,0.34851,0.079562,0.12899,0.15709,0.070068,0.074237,0.28655,0.4264,0.11479,0.072341,-0.0053298,0.14004,0.23347,0.51638,0.75867,0.27606,0.66722,0.5964,0.3199,0.48108,0.2833,0.35973,0.78474,0.29365,0.53301,0.44625,0.21362,0.5043,0.2688,0.10944,0.46778,0.34618,0.4218,0.45448,0.50238
163,-7.8015,1.5199,1,0.36816,0.17658,0.24147,0.16488,0.36591,0.3235,0.34301,0.46624,0.38733,0.42725,0.51871,0.60499,0.73951,0.25393,0.12224,0.16992,0.31359,0.2348,0.419,0.18017,0.21181,0.3862,0.11058,0.14472,0.12056,0.11513,0.10708,0.30441,0.5144,0.17292,0.091186,0.037354,0.14982,0.21894,0.53582,0.79712,0.3046,0.58061,0.65873,0.36197,0.47569,0.33611,0.39077,0.87979,0.20557,0.44364,0.44957,0.23089,0.4803,0.27814,0.079267,0.41892,0.34082,0.40318,0.46191,0.52139
163.17,-7.7933,1.5074,1,0.47825,0.22146,0.2526,0.2699,0.37162,0.30874,0.31993,0.40185,0.3534,0.40029,0.50146,0.41742,0.74812,0.27419,0.1024,0.18607,0.36067,0.28198,0.48066,0.21215,0.26863,0.41209,0.15798,0.15776,0.08045,0.1533,0.16311,0.31755,0.58535,0.27465,0.09706,0.10549,0.15178,0.20832,0.54057,0.73386,0.31463,0.46998,0.70148,0.3472,0.44702,0.37341,0.4228,0.87177,0.097762,0.26852,0.41947,0.25092,0.47989,0.25671,0.067867,0.34185,0.31922,0.31919,0.41448,0.47765
163.33,-7.7984,1.4986,1,0.5827,0.27065,0.24355,0.33087,0.36616,0.29218,0.26589,0.30239,0.29761,0.36116,0.48645,0.22985,0.75393,0.29692,0.17886,0.21365,0.36142,0.32916,0.58604,0.24413,0.33509,0.43899,0.19844,0.17667,0.058191,0.159,0.25301,0.32185,0.58095,0.43939,0.11438,0.15184,0.14802,0.2141,0.49256,0.6557,0.32466,0.34951,0.64543,0.31733,0.39804,0.38761,0.44688,0.82921,0.01251,0.082209,0.41556,0.25153,0.50528,0.2307,0.056467,0.26933,0.29189,0.23521,0.36706,0.43452
163.5,-7.7912,1.4828,1,0.63577,0.35295,0.24243,0.36284,0.35772,0.27806,0.21105,0.20293,0.23907,0.32202,0.49936,0.13241,0.69732,0.30334,0.25532,0.22367,0.29818,0.33149,0.69143,0.23228,0.38037,0.41745,0.18837,0.15694,0.043793,0.13399,0.34291,0.28982,0.49055,0.63463,0.13824,0.16852,0.13227,0.25306,0.43327,0.64254,0.37593,0.28771,0.54158,0.28777,0.30128,0.38205,0.42538,0.61091,-0.015224,0.013992,0.41747,0.23402,0.53015,0.22469,0.076468,0.23698,0.25688,0.19552,0.3091,0.3773
163.66,-7.793,1.4676,1,0.62323,0.45664,0.24131,0.38566,0.33653,0.27285,0.16075,0.2256,0.1818,0.28532,0.49668,0.12338,0.65904,0.3201,0.30803,0.23348,0.19758,0.30445,0.75073,0.20131,0.44582,0.3952,0.14434,0.13386,0.025041,0.10496,0.37409,0.15552,0.38837,0.82645,0.15801,0.16203,0.10235,0.32321,0.37763,0.65253,0.41434,0.24323,0.39134,0.23908,0.20453,0.34045,0.38116,0.38816,-0.051247,-0.024597,0.41294,0.21517,0.56747,0.2201,0.10034,0.25715,0.20995,0.16664,0.26853,0.3173
163.83,-7.7929,1.4597,1,0.60202,0.54948,0.24069,0.35877,0.29359,0.24257,0.15188,0.26178,0.12496,0.24899,0.47903,0.11626,0.60866,0.33907,0.3423,0.24295,0.10494,0.2748,0.74066,0.18178,0.43789,0.30538,0.10031,0.084612,0.0014307,0.080965,0.37687,0.10564,0.28619,0.87276,0.16646,0.14328,0.084373,0.41291,0.32251,0.64791,0.43915,0.18304,0.22168,0.16752,0.11184,0.25967,0.3417,0.16987,-0.060904,-0.041296,0.38803,0.17764,0.58921,0.21359,0.1246,0.27732,0.19253,0.15207,0.25343,0.2477
164,-7.8031,1.444,1,0.58577,0.584,0.24183,0.34362,0.2715,0.18226,0.11207,0.30804,0.10313,0.21101,0.46138,0.12625,0.5904,0.35583,0.2992,0.25916,0.063606,0.23055,0.73058,0.15015,0.39299,0.19468,0.07815,0.037921,-0.018598,0.063866,0.35491,0.046914,0.18946,0.79955,0.1749,0.1262,0.06452,0.50262,0.272,0.64039,0.48247,0.13697,0.0716,0.12237,0.053646,0.21736,0.30346,0.057939,-0.057911,-0.036397,0.35055,0.14391,0.58737,0.21371,0.16378,0.31412,0.17541,0.15978,0.24693,0.19795
164.16,-7.8,1.4396,1,0.58605,0.58692,0.22661,0.38778,0.2494,0.12195,0.10143,0.35768,0.10038,0.19443,0.4533,0.13624,0.54655,0.38914,0.21395,0.25091,0.05423,0.1847,0.6825,0.11851,0.31745,0.083979,0.062571,0.00019179,0.0065894,0.053588,0.24593,-0.011449,0.15575,0.62114,0.13098,0.13091,0.036153,0.46494,0.23078,0.63286,0.58809,0.11199,-0.013303,0.077224,0.027776,0.1885,0.27985,0.014985,-0.055083,-0.0203,0.27595,0.13271,0.55642,0.21178,0.16927,0.34637,0.16739,0.21739,0.24043,0.21217
164.33,-7.7959,1.4326,1,0.60753,0.48541,0.18582,0.45412,0.20812,0.11761,0.11015,0.42947,0.097622,0.17993,0.41506,0.19596,0.56138,0.4207,0.12861,0.19147,0.11853,0.15506,0.61224,0.136,0.24204,0.070589,0.072801,0.009593,0.034545,0.056706,0.13694,-0.039346,0.19525,0.40944,0.12301,0.13614,0.020701,0.3939,0.23327,0.56373,0.62394,0.093246,-0.015599,0.053615,0.059913,0.21797,0.32888,0.13481,-0.00090494,0.076363,0.18618,0.14087,0.51326,0.20207,0.17008,0.33982,0.16057,0.25471,0.23878,0.22751
164.5,-7.792,1.4282,1,0.66152,0.36248,0.13453,0.51266,0.17411,0.11743,0.14586,0.42951,0.10931,0.18259,0.40044,0.24251,0.55333,0.43167,0.052265,0.13222,0.19079,0.15522,0.50043,0.1535,0.16763,0.0787,0.12213,0.0067411,0.066855,0.058825,0.056975,-0.067244,0.23475,0.25278,0.095345,0.10596,-0.0054567,0.28918,0.28201,0.51071,0.70465,0.098045,0.050502,0.04558,0.108,0.24743,0.3779,0.27616,0.06576,0.16259,0.10286,0.14524,0.45766,0.18196,0.16702,0.3306,0.1774,0.29623,0.23714,0.27178
164.67,-7.8022,1.4238,1,0.66918,0.25197,0.075397,0.4949,0.16799,0.14555,0.19108,0.45094,0.13898,0.20303,0.38929,0.2951,0.55738,0.43288,-0.0099864,0.1674,0.2514,0.16787,0.43884,0.14502,0.14542,0.14373,0.18433,0.030055,0.11866,0.047014,0.0039365,-0.006744,0.27425,0.19106,0.094556,0.090943,-0.032618,0.19327,0.37303,0.50611,0.81184,0.14349,0.14872,0.074033,0.17253,0.31607,0.42095,0.43849,0.13243,0.24385,0.075955,0.15341,0.4167,0.1619,0.16892,0.32238,0.20637,0.35648,0.24443,0.3381
164.83,-7.8006,1.403,1,0.63513,0.16574,0.025045,0.49351,0.18819,0.21463,0.24503,0.47204,0.17084,0.22916,0.37813,0.36204,0.59943,0.43241,-0.038804,0.19583,0.26173,0.1824,0.37228,0.11864,0.13572,0.22964,0.21614,0.067539,0.18663,0.029731,-0.026441,0.053756,0.34238,0.19106,0.077194,0.065391,-0.049972,0.10404,0.42176,0.57065,0.95824,0.22852,0.24693,0.12741,0.21216,0.36502,0.4589,0.61903,0.19603,0.32421,0.061629,0.17445,0.40939,0.13522,0.15521,0.3626,0.24854,0.46391,0.25591,0.40442
165,-7.8046,1.3987,1,0.58922,0.10681,0.022809,0.43597,0.21211,0.28574,0.30255,0.52482,0.21125,0.26749,0.36233,0.42898,0.66736,0.40647,-0.027002,0.17459,0.24371,0.19853,0.2945,0.11015,0.12924,0.31832,0.24494,0.10502,0.24963,0.023523,0.0089586,0.11033,0.41052,0.22715,0.11731,0.043242,-0.053205,0.14692,0.48057,0.62394,1.0423,0.32216,0.33418,0.18404,0.28199,0.41788,0.53633,0.78952,0.2699,0.41442,0.058232,0.19236,0.4201,0.13195,0.17653,0.40283,0.28889,0.52145,0.27252,0.44679
165.16,-7.8026,1.388,1,0.50943,0.11652,0.054115,0.3646,0.21763,0.30823,0.36086,0.56216,0.26564,0.30629,0.36212,0.44539,0.74056,0.37868,-0.015101,0.19986,0.21231,0.23941,0.23889,0.095513,0.098914,0.3428,0.28042,0.11182,0.27383,0.042383,0.04378,0.17276,0.37869,0.2394,0.089753,0.01769,-0.0068909,0.18999,0.49565,0.66307,1.1027,0.40955,0.37452,0.22248,0.337,0.42507,0.54728,0.85352,0.29242,0.4345,0.13159,0.21831,0.46422,0.13821,0.20118,0.40825,0.32627,0.54664,0.30918,0.47739
165.33,-7.8051,1.3812,1,0.43441,0.12623,0.10371,0.28705,0.24185,0.35237,0.39255,0.59951,0.30425,0.34337,0.38637,0.4702,0.81831,0.35893,-0.0087036,0.22982,0.18092,0.27854,0.22508,0.085932,0.060677,0.38986,0.30447,0.11863,0.32776,0.063098,0.073574,0.2352,0.34686,0.19661,0.11464,0.030962,0.050128,0.24338,0.49158,0.66292,1.0921,0.47425,0.41019,0.25554,0.39125,0.42092,0.55822,0.93167,0.30943,0.45669,0.23715,0.25628,0.5131,0.15491,0.22719,0.41367,0.35368,0.56206,0.36678,0.50888
165.5,-7.8013,1.3653,1,0.36546,0.12198,0.15291,0.25159,0.26006,0.39477,0.40388,0.61546,0.32443,0.36762,0.41627,0.49502,0.89606,0.34895,-0.022386,0.1826,0.15854,0.28698,0.20912,0.085089,0.02244,0.39795,0.3121,0.12543,0.3338,0.08496,0.07642,0.37812,0.36679,0.15333,0.090668,0.031754,0.069443,0.25979,0.45145,0.63059,1.1076,0.51739,0.41347,0.27158,0.4098,0.41677,0.56917,1.013,0.32644,0.47888,0.29184,0.29424,0.55687,0.18321,0.2336,0.40455,0.35688,0.55449,0.4129,0.52841
165.67,-7.8047,1.3604,1,0.32083,0.11773,0.20029,0.18802,0.28356,0.34382,0.38728,0.59693,0.32136,0.36843,0.3612,0.48689,0.75828,0.32173,-0.053099,0.15221,0.16764,0.29075,0.18278,0.1072,0.015516,0.40604,0.31093,0.12165,0.32367,0.10244,0.079528,0.36157,0.36511,0.13079,0.092211,0.041418,0.092174,0.26951,0.45717,0.64038,1.0839,0.52911,0.42636,0.29162,0.43294,0.4057,0.56811,1.1025,0.33386,0.51752,0.33941,0.29943,0.52176,0.21858,0.20229,0.29444,0.31549,0.49973,0.43908,0.54794
165.83,-7.8004,1.3572,1,0.28545,0.12216,0.19749,0.16367,0.30334,0.29085,0.36448,0.5784,0.30782,0.32623,0.3012,0.46592,0.59626,0.30075,-0.061927,0.17943,0.17725,0.2899,0.14896,0.11565,0.0053719,0.41137,0.3062,0.11787,0.27098,0.11444,0.073427,0.39788,0.37579,0.10646,0.077181,0.047681,0.11149,0.27118,0.48642,0.64998,1.0603,0.49953,0.42964,0.3044,0.41387,0.39117,0.52088,1.1564,0.32232,0.54631,0.38146,0.29635,0.48514,0.23717,0.16962,0.18433,0.27233,0.45928,0.44989,0.54221
166,-7.7978,1.3547,1,0.28394,0.12928,0.16496,0.15855,0.33475,0.2756,0.34201,0.55682,0.28317,0.28148,0.30474,0.44495,0.54889,0.27451,-0.068479,0.21135,0.18822,0.26429,0.13384,0.12495,0.0073277,0.42806,0.30205,0.13286,0.25432,0.10136,0.072954,0.3815,0.41203,0.1121,0.1067,0.041462,0.08074,0.27853,0.50754,0.67374,0.99074,0.46438,0.44613,0.30105,0.40585,0.37664,0.50377,1.1749,0.31077,0.54855,0.36266,0.2804,0.44521,0.23483,0.14081,0.1844,0.2546,0.4561,0.45503,0.54713
166.16,-7.7946,1.3362,1,0.31688,0.14496,0.12464,0.16202,0.32415,0.23469,0.31803,0.54758,0.25853,0.24776,0.31134,0.42764,0.50463,0.24828,-0.054786,0.22675,0.18232,0.24863,0.094206,0.096963,0.017191,0.40068,0.2979,0.14785,0.22479,0.065254,0.065103,0.41781,0.47614,0.11129,0.10347,0.032889,0.035174,0.27555,0.4796,0.67928,0.94632,0.42923,0.42514,0.2752,0.38266,0.37345,0.47749,1.1578,0.30817,0.52795,0.31048,0.25243,0.4072,0.23246,0.1203,0.2019,0.25041,0.45849,0.43042,0.5391
166.33,-7.7955,1.3396,1,0.35418,0.13905,0.1046,0.16985,0.30629,0.1994,0.29556,0.55446,0.23388,0.23281,0.30548,0.42509,0.47762,0.23219,-0.024052,0.19977,0.1711,0.25116,0.081218,0.072228,0.027054,0.37329,0.29689,0.17359,0.23512,0.030003,0.082903,0.25848,0.47968,0.11741,0.11885,0.018054,0.045362,0.30271,0.47504,0.68356,0.87581,0.42183,0.43333,0.25277,0.36286,0.37019,0.47104,1.1453,0.30558,0.50625,0.25767,0.23008,0.42501,0.22034,0.11282,0.23294,0.28247,0.49558,0.4117,0.52743
166.5,-7.7917,1.3213,1,0.39393,0.13315,0.086387,0.17569,0.276,0.24705,0.31022,0.5918,0.22904,0.23044,0.38306,0.51099,0.61788,0.2388,-0.01525,0.15141,0.156,0.24635,0.073347,0.042438,0.0054692,0.33166,0.29965,0.19523,0.23321,0.0052266,0.068663,0.30634,0.48321,0.11056,0.11296,0.0045529,0.067679,0.30244,0.43489,0.65391,0.77018,0.43847,0.42244,0.22763,0.35519,0.3706,0.48913,1.1032,0.30445,0.45157,0.21261,0.24547,0.47651,0.17915,0.12499,0.29877,0.3359,0.51977,0.40737,0.5072
166.66,-7.7915,1.3124,1,0.42225,0.10762,0.08446,0.15543,0.25285,0.29296,0.33202,0.62915,0.23065,0.27242,0.44929,0.60973,0.7387,0.24628,-0.037944,0.067986,0.14311,0.24466,0.084164,0.016369,-0.016116,0.29003,0.29436,0.21688,0.23782,0.0045799,0.084598,0.27227,0.46739,0.1076,0.10706,0.021516,0.091308,0.31418,0.40245,0.63771,0.66455,0.47826,0.43857,0.21165,0.34832,0.37834,0.50723,1.0013,0.31828,0.39248,0.20145,0.27843,0.55138,0.13685,0.13889,0.3646,0.38934,0.54255,0.42945,0.49205
166.83,-7.7899,1.3078,1,0.41792,0.077477,0.087798,0.11432,0.2205,0.29137,0.35775,0.63745,0.22938,0.28702,0.44776,0.66341,0.72902,0.2602,-0.059241,-0.015442,0.12801,0.22722,0.063375,-0.00023729,-0.024392,0.23911,0.26829,0.22248,0.24243,0.012112,0.084713,0.29089,0.47616,0.09851,0.081054,0.063168,0.10475,0.32026,0.35663,0.6215,0.62637,0.54052,0.42822,0.20066,0.34988,0.38608,0.52347,0.9695,0.35639,0.35994,0.23146,0.31797,0.6012,0.11374,0.15029,0.39048,0.40778,0.54599,0.45094,0.4769
167,-7.7892,1.2985,1,0.35556,0.034624,0.091136,0.089257,0.20418,0.2758,0.38479,0.61706,0.23105,0.31851,0.43737,0.70503,0.70483,0.27003,-0.073744,-0.080388,0.132,0.19655,0.056577,0.032203,0.0050126,0.203,0.24223,0.22128,0.23552,0.047247,0.10111,0.17858,0.4378,0.15574,0.096418,0.11226,0.16799,0.32634,0.34042,0.62664,0.64437,0.60336,0.42735,0.2071,0.36565,0.387,0.52978,0.91392,0.39106,0.41376,0.27598,0.35751,0.64435,0.093889,0.16823,0.4144,0.38793,0.57297,0.48532,0.50176
167.16,-7.7905,1.3033,1,0.26214,0.014905,0.088243,0.056833,0.18549,0.25821,0.43061,0.56573,0.22104,0.30672,0.43964,0.74152,0.62521,0.26973,-0.085208,-0.10809,0.12378,0.16589,0.021455,0.04963,0.034417,0.1903,0.21605,0.19976,0.23333,0.082383,0.10122,0.10659,0.40753,0.20653,0.099805,0.15286,0.16622,0.31041,0.27785,0.59944,0.59501,0.64291,0.41278,0.20888,0.39319,0.38198,0.50547,0.8259,0.42573,0.46867,0.32869,0.41931,0.6224,0.093083,0.17893,0.42285,0.32069,0.53526,0.51915,0.48281
167.33,-7.7909,1.2906,1,0.17204,-0.0028665,0.09726,0.032583,0.16281,0.24624,0.45849,0.50919,0.23009,0.30907,0.46094,0.7063,0.58376,0.27123,-0.070971,-0.11403,0.099211,0.14535,-0.0034214,0.064661,0.073786,0.19042,0.20331,0.17873,0.25162,0.13779,0.1166,0.034247,0.36993,0.22273,0.14118,0.1505,0.19162,0.31323,0.2473,0.56404,0.58071,0.6366,0.40768,0.20936,0.41666,0.34695,0.45105,0.74147,0.4619,0.53495,0.38076,0.46501,0.612,0.109,0.19687,0.4101,0.26317,0.49689,0.54792,0.47567
167.5,-7.7933,1.2737,1,0.085093,-0.0041642,0.1084,0.022252,0.133,0.23602,0.45904,0.43901,0.21994,0.279,0.49359,0.67982,0.5236,0.27208,-0.055383,-0.086114,0.072434,0.12283,-0.020593,0.071728,0.086716,0.19053,0.19888,0.16078,0.26985,0.14974,0.11043,0.027281,0.33557,0.24159,0.1569,0.11768,0.21571,0.30404,0.22014,0.51074,0.55054,0.62224,0.41453,0.18323,0.42153,0.30412,0.39662,0.70704,0.46559,0.59084,0.40446,0.50141,0.57711,0.13329,0.22522,0.39736,0.21,0.44519,0.56052,0.46852
167.66,-7.7941,1.2718,1,0.027371,0.00018225,0.12475,0.028434,0.13868,0.22753,0.45284,0.41874,0.22899,0.27631,0.48645,0.70465,0.47075,0.27359,-0.043468,-0.041869,0.023184,0.117,-0.021564,0.077381,0.12749,0.19443,0.21247,0.14751,0.28807,0.18358,0.14363,0.054333,0.30363,0.25697,0.17989,0.091633,0.24584,0.30222,0.21501,0.45744,0.50458,0.59098,0.46846,0.16225,0.41306,0.28024,0.35083,0.69345,0.40996,0.64672,0.4373,0.54575,0.56748,0.15758,0.26942,0.37952,0.19889,0.37239,0.55864,0.48421
167.83,-7.7945,1.2694,1,0.002528,0.0086886,0.1411,0.022904,0.14437,0.23285,0.44646,0.39154,0.2375,0.24571,0.47571,0.73784,0.4293,0.28879,-0.047987,-0.022569,-0.0013654,0.1135,-0.012257,0.066216,0.12221,0.1903,0.22607,0.14167,0.30093,0.20566,0.17073,0.15962,0.29093,0.22404,0.15972,0.063503,0.24098,0.31097,0.2317,0.4058,0.42135,0.59497,0.52239,0.15006,0.40924,0.26318,0.32415,0.72578,0.35433,0.63698,0.46337,0.5628,0.54185,0.17861,0.2974,0.36807,0.21073,0.30773,0.55269,0.46359
168,-7.7905,1.2492,1,0.013669,0.017195,0.1497,0.03364,0.15956,0.25958,0.43356,0.40245,0.2577,0.25162,0.50856,0.7614,0.50112,0.32216,-0.052506,-0.017429,-0.013711,0.11095,-0.0012701,0.066183,0.11694,0.2043,0.25486,0.15136,0.30378,0.23675,0.20905,0.23582,0.34502,0.18171,0.16699,0.043858,0.26484,0.32064,0.26545,0.45754,0.41996,0.59954,0.59059,0.16144,0.40624,0.24934,0.30736,0.76171,0.32492,0.58736,0.48187,0.55015,0.53342,0.17443,0.32309,0.39109,0.24628,0.29141,0.5485,0.49973
168.17,-7.7876,1.2382,1,0.053748,0.027391,0.15083,0.044165,0.19979,0.29444,0.42066,0.41832,0.25819,0.26527,0.52392,0.75901,0.55851,0.33344,-0.041198,-0.029474,-0.011483,0.11362,0.0083944,0.059896,0.084726,0.2164,0.27195,0.15511,0.2984,0.23793,0.22441,0.25236,0.40644,0.18041,0.15968,0.067863,0.23203,0.33899,0.2992,0.50927,0.46207,0.61836,0.62582,0.17347,0.40731,0.26551,0.31326,0.79847,0.29253,0.55236,0.48123,0.53112,0.52182,0.17554,0.33953,0.43315,0.29456,0.3223,0.55669,0.52625
168.33,-7.7902,1.2317,1,0.11253,0.032068,0.14701,0.065288,0.24001,0.32117,0.43236,0.45801,0.27516,0.28563,0.51963,0.73031,0.63253,0.36341,-0.031241,-0.04152,-0.0094382,0.12735,0.010354,0.050506,0.078956,0.2387,0.29115,0.15318,0.27941,0.24464,0.23976,0.24499,0.45552,0.17837,0.17801,0.088515,0.21658,0.35608,0.32186,0.50344,0.52005,0.62253,0.62399,0.21455,0.41247,0.29902,0.34564,0.84094,0.27996,0.51248,0.46399,0.49777,0.51452,0.16291,0.3222,0.48483,0.34854,0.35363,0.56589,0.54941
168.5,-7.7867,1.2304,1,0.15603,0.034693,0.13829,0.075813,0.25118,0.33988,0.46591,0.49887,0.27293,0.30598,0.53642,0.69007,0.72321,0.3902,-0.047135,-0.087459,0.017286,0.14013,0.0065808,0.033067,0.05078,0.24026,0.30347,0.15122,0.25724,0.18667,0.22599,0.2036,0.50549,0.17148,0.14979,0.09359,0.19427,0.36286,0.32478,0.49169,0.58035,0.6267,0.57782,0.24804,0.4091,0.31357,0.37124,0.86347,0.30244,0.49229,0.43479,0.44781,0.50149,0.15028,0.28902,0.52241,0.37159,0.37158,0.58033,0.54358
168.67,-7.7879,1.204,1,0.16212,0.03281,0.12957,0.10595,0.25434,0.35597,0.50646,0.55793,0.27035,0.33678,0.55322,0.64146,0.80051,0.40837,-0.053391,-0.11511,0.030733,0.14026,-0.0027544,0.022823,0.036631,0.23031,0.29929,0.14976,0.23509,0.17287,0.21106,0.1345,0.55996,0.15302,0.12335,0.092261,0.17196,0.35691,0.29584,0.47242,0.62273,0.60984,0.53165,0.27518,0.38689,0.36628,0.41721,0.8209,0.34151,0.4745,0.42301,0.42514,0.50571,0.13765,0.25583,0.53902,0.39464,0.35786,0.60338,0.52822
168.83,-7.7861,1.1885,1,0.15892,0.035435,0.12233,0.10821,0.24631,0.3373,0.53362,0.5937,0.26776,0.34338,0.52441,0.59286,0.78665,0.40738,-0.048605,-0.12758,0.04418,0.13945,-0.0090227,0.018266,0.022482,0.21528,0.27693,0.14318,0.21393,0.12626,0.18915,0.094505,0.54838,0.14225,0.09677,0.074172,0.15528,0.33523,0.25506,0.3903,0.60275,0.59601,0.44993,0.27286,0.36385,0.37767,0.4443,0.77832,0.35617,0.49659,0.41122,0.41594,0.50551,0.12513,0.22734,0.51796,0.40351,0.37512,0.60894,0.50651
169,-7.7876,1.1731,1,0.13218,0.029915,0.12275,0.12225,0.21667,0.31047,0.55755,0.61759,0.26709,0.32713,0.50048,0.56267,0.72849,0.41111,-0.063415,-0.13923,0.034721,0.13237,-0.013969,0.020265,0.035266,0.20534,0.26043,0.15105,0.21101,0.088664,0.17961,0.073231,0.50837,0.15894,0.061735,0.07631,0.15597,0.32885,0.21428,0.32836,0.70765,0.5942,0.41062,0.26006,0.34451,0.42983,0.47913,0.75859,0.40025,0.51012,0.4034,0.41524,0.5131,0.12058,0.20084,0.51246,0.39964,0.37933,0.61757,0.51376
169.17,-7.7853,1.1667,1,0.086745,0.0032735,0.12719,0.1133,0.17503,0.27005,0.58147,0.60451,0.28649,0.30502,0.47994,0.55006,0.69187,0.39614,-0.074419,-0.14947,0.025445,0.11793,-0.014855,0.017234,0.051365,0.18872,0.26542,0.16153,0.2255,0.064021,0.17008,0.051956,0.48048,0.19382,0.0267,0.053305,0.14972,0.30844,0.18653,0.38536,0.82194,0.61474,0.36957,0.23967,0.33887,0.42389,0.47974,0.74289,0.47996,0.55648,0.41218,0.46467,0.50875,0.12459,0.22108,0.48507,0.37758,0.36294,0.62816,0.52437
169.33,-7.7871,1.1473,1,0.040857,-0.022355,0.13837,0.11388,0.13192,0.26935,0.6154,0.55056,0.30588,0.26277,0.4788,0.55909,0.6157,0.44469,-0.05957,-0.13589,0.034282,0.097187,-0.01329,0.011471,0.060838,0.19676,0.27277,0.16539,0.2446,0.077215,0.16319,0.063548,0.45656,0.23703,0.058702,0.065175,0.14431,0.30917,0.17797,0.5191,0.98284,0.62698,0.3535,0.23134,0.34301,0.41606,0.4749,0.71839,0.57095,0.58479,0.42849,0.51978,0.50291,0.12861,0.24131,0.45033,0.35574,0.37103,0.64814,0.51893
169.5,-7.7884,1.137,1,0.025438,-0.02628,0.1458,0.090193,0.10104,0.2658,0.64234,0.5017,0.3138,0.21007,0.46676,0.57425,0.55291,0.49225,-0.044722,-0.10647,0.029487,0.096341,-0.006164,-0.0014876,0.077257,0.20951,0.30247,0.16636,0.2637,0.079413,0.16946,0.10056,0.42127,0.29899,0.090703,0.045861,0.1389,0.30125,0.17731,0.6556,1.1524,0.62146,0.33381,0.21543,0.34716,0.35883,0.4372,0.73689,0.63407,0.61234,0.42553,0.56717,0.49087,0.13262,0.26155,0.41312,0.32935,0.36085,0.65113,0.49569
