Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56
4.833,-5.5329,1.4719,1,1.1021,0.01637,0.038445,0.040832,0.0097842,-0.081893,-0.2613,-0.2204,-0.13491,-0.11538,0.53902,0.55583,0.45363,1.5594,1.6344,1.3131,0.79838,0.90223,0.64317,0.47318,0.24437,0.42967,0.37536,0.79344,1.9024,1.4259,1.4853,0.81589,1.1036,1.8704,1.1975,1.8576,0.85612,1.2277,0.55911,0.77657,1.2013,0.43788,0.072607,0.07337,0.021591,0.24857,0.31232,0.25203,-0.18009,0.01613,0.29836,-0.13019,0.049141,0.070067,-0.35947,0.013542,-0.2394,-0.16082,-0.16043,-0.23307
4.999,-5.5369,1.4716,1,1.0495,0.0066847,0.06684,-0.050396,0.021945,0.0045128,-0.28617,-0.21212,-0.11155,-0.14364,0.50878,0.59577,0.30661,1.5091,1.7612,1.4041,0.77486,0.91953,0.73331,0.46757,0.23973,0.35924,0.3964,0.76011,1.9722,1.5242,1.6989,0.8223,1.1964,2.0967,1.1522,1.7062,0.87351,1.1483,0.51372,0.7678,1.2883,0.49573,0.081499,0.051021,0.028505,0.26775,0.29988,0.25936,-0.19116,0.051074,0.31814,-0.11824,0.042348,0.049973,-0.32707,0.0053521,-0.2518,-0.18099,-0.17035,-0.26571
5.159,-5.5416,1.4684,1,1.0272,0.004894,0.0033119,-0.098944,0.034106,0.1172,-0.29009,-0.20384,-0.074154,-0.14612,0.47215,0.57986,0.39361,1.5235,1.8094,1.4559,0.76317,0.92084,0.73581,0.46583,0.2294,0.31845,0.39983,0.73523,1.9595,1.576,1.8707,0.77875,1.1073,2.1836,1.0639,1.5783,0.89656,1.0292,0.55577,0.80648,1.3141,0.54216,0.090519,0.032402,0.028394,0.23529,0.27914,0.2672,-0.16391,0.11537,0.33481,-0.091337,0.047105,0.02048,-0.31313,-0.019702,-0.27204,-0.20115,-0.19998,-0.25882
5.334,-5.5467,1.4685,1,1.0533,0.060642,-0.077881,-0.085909,0.053678,0.21415,-0.28863,-0.17802,-0.036754,-0.12953,0.48289,0.53486,0.49423,1.5379,1.7505,1.4536,0.81214,0.94163,0.74214,0.46827,0.19584,0.32878,0.38715,0.71036,2.0668,1.6591,2.0322,0.74106,1.059,2.1899,1.0568,1.4926,0.91961,1.0228,0.60125,0.76871,1.4972,0.55678,0.10521,0.038,0.058657,0.20251,0.26808,0.27562,-0.12421,0.16434,0.34015,-0.11471,0.07019,0.058406,-0.29986,-0.044357,-0.28599,-0.22716,-0.23567,-0.24464
5.497,-5.553,1.4704,1,1.0326,0.099804,-0.17557,-0.049711,0.079741,0.28248,-0.27126,-0.1428,0.035217,-0.11294,0.49673,0.50079,0.64837,1.5909,1.7213,1.4464,0.93379,0.92537,0.71003,0.47562,0.16227,0.31399,0.36233,0.70885,2.0571,1.7027,2.1301,0.72753,0.97586,2.1521,1.1203,1.4507,0.92757,0.98089,0.62895,0.73093,1.4487,0.502,0.098273,0.064966,0.058546,0.17422,0.24202,0.28469,-0.084506,0.16818,0.33289,-0.13808,0.10465,0.05683,-0.28765,-0.087519,-0.27517,-0.2407,-0.27435,-0.23174
5.665,-5.5653,1.4654,1,0.98132,0.14818,-0.24855,-0.013482,0.11093,0.31882,-0.22841,-0.12729,0.095399,-0.090669,0.48993,0.4464,0.81455,1.7225,1.6304,1.4391,1.0554,0.96566,0.6884,0.48139,0.15668,0.32883,0.3262,0.7114,2.1114,1.696,2.1015,0.73747,0.95384,2.0911,1.2193,1.4321,0.96738,1.0103,0.65834,0.85302,1.5604,0.44723,0.087977,0.070736,0.05203,0.17564,0.24248,0.30507,-0.029239,0.1658,0.32141,-0.16109,0.11662,0.068268,-0.28627,-0.14654,-0.25154,-0.23938,-0.24299,-0.22123
5.83,-5.572,1.4627,1,0.90828,0.18567,-0.19789,0.022747,0.047062,0.26781,-0.18185,-0.13993,0.14776,-0.043508,0.46632,0.42051,1.0275,1.863,1.5377,1.3942,1.1515,0.95235,0.6563,0.48715,0.20704,0.31588,0.26358,0.73536,2.0715,1.6368,2.0101,0.74741,0.93181,1.9054,1.3024,1.4131,1.0072,1.0139,0.65514,1.0291,1.2957,0.39245,0.050115,0.076291,-0.022196,0.16887,0.22263,0.33736,0.018325,0.10731,0.30932,-0.14083,0.12295,0.069191,-0.29564,-0.20657,-0.22932,-0.2037,-0.24409,-0.19385
5.995,-5.5736,1.4639,1,0.86732,0.19024,-0.10183,0.064983,-0.020081,0.19052,-0.13377,-0.15257,0.16472,-0.016408,0.42236,0.4287,1.1939,2.009,1.4449,1.3507,1.2384,0.95534,0.61304,0.48904,0.25739,0.27175,0.20095,0.74909,1.9837,1.5891,1.909,0.76635,0.88927,1.7197,1.3212,1.3961,0.99073,1.0308,0.60029,1.2265,1.16,0.39882,0.014692,0.072666,-0.083056,0.13001,0.18932,0.38219,0.014019,0.0044515,0.29724,-0.11067,0.13398,0.085779,-0.28654,-0.25176,-0.20454,-0.16802,-0.22414,-0.16646
6.166,-5.5929,1.46,1,0.74311,0.16231,0.0097117,0.07514,-0.087225,0.11169,-0.072552,-0.16307,0.085387,0.00015833,0.37434,0.43654,1.3501,2.155,1.3554,1.3153,1.2364,0.95519,0.54594,0.50115,0.27006,0.22763,0.1493,0.73668,1.7428,1.5174,1.7709,0.77941,0.90397,1.5438,1.293,1.3772,0.90891,0.92169,0.54544,1.4744,0.91071,0.37482,0.0035914,0.026335,-0.14857,0.08344,0.13891,0.42507,0.0097131,-0.098405,0.28121,-0.083823,0.11592,0.062866,-0.27639,-0.29521,-0.19554,-0.14024,-0.20554,-0.14637
6.331,-5.5959,1.4596,1,0.66581,0.13608,0.14677,0.084365,-0.17066,0.055485,-0.031094,-0.17985,-0.028521,0.01608,0.32957,0.42465,1.4558,2.2377,1.3745,1.2571,1.2308,0.95818,0.48744,0.51325,0.22046,0.20138,0.12141,0.73601,1.5549,1.4539,1.6698,0.86179,0.76018,1.4898,1.2405,1.2985,0.81902,0.89523,0.53472,1.7223,0.89315,0.42454,0.026417,-0.001506,-0.18214,-0.011017,0.078475,0.44259,0.0049408,-0.14511,0.27366,-0.039256,0.09735,0.076868,-0.26624,-0.31289,-0.1694,-0.14911,-0.20269,-0.11256
