Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56,Neuron 57,Neuron 58,Neuron 59,Neuron 60,Neuron 61,Neuron 62,Neuron 63,Neuron 64,Neuron 65,Neuron 66,Neuron 67,Neuron 68
3.33,-0.47497,-2.3394,1,-0.092738,0.17028,0.07184,-0.27453,-0.067868,-0.068598,-0.079642,0.45752,0.71025,0.46091,0.23971,0.26166,0.232,0.52704,0.39419,0.35317,0.61484,0.47903,0.16349,0.43974,0.34085,0.16207,0.17742,0.087964,0.12767,0.16806,0.27418,0.35932,0.30128,0.062599,0.32816,0.061421,0.1657,0.60582,0.71062,0.2316,0.073639,0.84475,0.25236,1.2545,0.50271,0.53678,0.1209,0.034101,-0.055871,-0.0027042,0.1348,0.02057,-0.073224,-0.14092,-0.066352,-0.11989,0.0098701,-0.018117,-0.082146,-0.21707,-0.1255,0.18393,-0.043771,-0.065834,0.032179,0.32309,0.029772,0.042772,-0.067864,0.1044,0.092662,0.19903
3.5,-0.46229,-2.3144,1,-0.11938,0.15448,0.10095,-0.31868,-0.097391,0.0087349,-0.075782,0.46882,0.94297,0.46335,0.20983,0.26995,0.2279,0.55288,0.40451,0.34887,0.60262,0.47399,0.19336,0.44322,0.39644,0.17911,0.1547,0.092634,0.12926,0.20753,0.28951,0.39934,0.36129,0.14132,0.35893,0.033024,0.14398,0.56854,0.66001,0.22826,0.04516,0.85572,0.26256,1.1647,0.58316,0.60154,0.11168,0.056184,-0.081172,0.0059557,0.13671,0.021071,-0.05449,-0.084112,-0.074366,-0.060937,0.01249,-0.027829,-0.067626,-0.19395,-0.1302,0.11587,-0.016627,-0.028533,0.030155,0.30417,0.093179,0.10032,-0.055854,0.092517,0.10625,0.2137
3.666,-0.45625,-2.3034,1,-0.074618,0.10937,0.11191,-0.28658,-0.10143,0.11223,-0.076664,0.46437,1.2008,0.38208,0.21876,0.27303,0.23414,0.56273,0.43381,0.34278,0.63387,0.55756,0.24,0.4787,0.46598,0.2868,0.18945,0.11194,0.21552,0.39212,0.32704,0.5109,0.4213,0.25589,0.45076,0.031785,0.16882,0.5979,0.50667,0.27479,0.78253,1.0576,0.23227,1.0796,0.86978,0.78663,0.18097,0.092707,-0.091488,0.030917,0.17713,0.039837,-0.0018133,-0.021493,-0.06152,-0.0067044,0.049732,-0.009071,-0.041126,-0.12027,-0.082869,0.10494,0.012493,0.016693,0.021299,0.31299,0.15257,0.11048,-0.03946,0.14799,0.11053,0.21777
3.826,-0.4417,-2.2968,1,-0.028982,0.06967,0.12209,-0.24425,-0.082094,0.1764,-0.077546,0.34475,1.4463,0.3008,0.23251,0.31209,0.23682,0.55611,0.48171,0.34867,0.67248,0.67621,0.27107,0.49592,0.49594,0.39983,0.26545,0.13517,0.30571,0.58992,0.36457,0.63397,0.48228,0.36706,0.5367,0.044486,0.19909,0.74631,0.3624,0.32133,1.5544,1.1548,0.20199,1.0578,1.1832,0.94593,0.29625,0.16225,-0.0088666,0.056576,0.27774,0.078665,0.036164,0.040157,-0.029559,0.043256,0.086974,0.036204,-0.0018349,-0.043286,-0.063409,0.13558,0.030673,0.058883,0.031323,0.3218,0.21569,0.13688,-0.00073037,0.20588,0.10143,0.21961
3.998,-0.42751,-2.2893,1,0.0015628,0.024555,0.12108,-0.2159,-0.064195,0.24058,-0.096338,0.14627,1.5509,0.25354,0.27017,0.31273,0.22731,0.5477,0.519,0.34435,0.72333,0.70466,0.26404,0.46152,0.53028,0.46516,0.30537,0.17514,0.39683,0.78287,0.35863,0.70175,0.52427,0.46444,0.53709,0.066366,0.2331,1.0862,0.64852,0.34896,1.8936,1.2541,0.23059,1.036,1.4631,1.0984,0.41154,0.26653,0.073755,0.082236,0.3681,0.10864,0.045011,0.078162,-0.0029832,0.071311,0.10254,0.097113,0.035364,0.031488,-0.063806,0.12532,0.039115,0.062495,0.034859,0.41499,0.26502,0.12486,0.031037,0.27608,0.090474,0.2233
4.167,-0.40988,-2.294,1,0.011175,0.023039,0.11861,-0.19981,-0.059027,0.25842,-0.11314,-0.021924,1.6555,0.23824,0.31118,0.30405,0.22484,0.53186,0.52448,0.35024,0.75558,0.72668,0.25442,0.41908,0.53115,0.4398,0.33422,0.18564,0.44329,0.91142,0.3437,0.67179,0.56543,0.55815,0.53792,0.087468,0.24536,1.7606,1.1849,0.37658,2.0959,1.2775,0.27658,0.93349,1.512,1.1625,0.44494,0.37081,0.12458,0.074197,0.36595,0.099511,0.02358,0.066547,0.0016832,0.078544,0.09942,0.11627,0.053769,0.06317,-0.064203,0.093277,0.034899,0.066108,0.044076,0.45131,0.24417,0.1038,0.05041,0.31128,0.084106,0.22698
4.333,-0.41185,-2.3047,1,0.020788,0.022683,0.10596,-0.21411,-0.08429,0.17571,-0.11996,-0.0072604,1.754,0.21194,0.33913,0.28559,0.22298,0.48552,0.49324,0.33906,0.74474,0.6701,0.24041,0.35667,0.43422,0.36529,0.28103,0.19614,0.40888,0.83948,0.32877,0.60873,0.52878,0.63186,0.54096,0.10205,0.25223,2.435,1.7106,0.40043,2.0897,1.2304,0.35188,0.85337,1.3637,1.0057,0.41185,0.33728,0.16122,0.066157,0.30152,0.087489,-0.034147,0.00052033,-0.0079231,0.048003,0.082104,0.092139,0.013659,0.013536,-0.062211,0.041761,0.011868,0.068548,0.048891,0.41526,0.186,0.031182,0.04338,0.2926,0.082909,0.27449
4.497,-0.38296,-2.3052,1,-0.0068235,0.041911,0.10262,-0.25343,-0.11974,0.081725,-0.1119,0.094377,1.8176,0.21008,0.33971,0.29002,0.21208,0.43948,0.44302,0.32878,0.64539,0.61352,0.2185,0.29566,0.32497,0.27121,0.22785,0.20463,0.31238,0.66148,0.28981,0.45045,0.49213,0.69348,0.54401,0.096587,0.25058,2.4692,1.843,0.37828,1.3177,0.99673,0.48327,0.78389,1.2154,0.8488,0.3649,0.30375,0.18867,0.054059,0.21934,0.061767,-0.091875,-0.070351,-0.027289,0.017463,0.028335,0.047299,-0.026854,-0.066376,-0.085497,-0.045919,-0.013626,0.081241,0.04603,0.26731,0.13294,-0.0050539,0.040163,0.2433,0.084888,0.33296
4.667,-0.36614,-2.3018,1,-0.034435,0.057239,0.092441,-0.27458,-0.10783,0.045717,-0.10385,0.14798,1.8016,0.20821,0.33635,0.27532,0.20438,0.41239,0.3846,0.30894,0.58372,0.55176,0.21309,0.26391,0.26554,0.17179,0.14915,0.22169,0.24877,0.51866,0.25085,0.29218,0.49134,0.77228,0.53359,0.085178,0.23028,2.2063,1.8228,0.35781,0.54308,0.74228,0.55079,0.82965,1.105,0.74946,0.30546,0.27023,0.15809,0.04273,0.15114,0.03738,-0.10637,-0.11466,-0.046654,0.0081526,-0.0062172,0.00094986,-0.043915,-0.1331,-0.10781,-0.14539,-0.039119,0.093933,0.029042,0.15854,0.093904,-0.04651,0.025436,0.19595,0.086867,0.39143
4.834,-0.36347,-2.3033,1,-0.043286,0.081846,0.081665,-0.25923,-0.094483,0.016012,-0.084426,0.20157,1.7126,0.2316,0.33964,0.31073,0.21547,0.41837,0.40374,0.29952,0.55716,0.61703,0.25877,0.29059,0.20866,0.17644,0.13334,0.23876,0.23574,0.48323,0.23227,0.18031,0.51369,0.85108,0.52485,0.083686,0.20615,1.766,1.5204,0.35959,0.23691,0.55913,0.49547,0.84317,1.028,0.66143,0.2511,0.21106,0.14284,0.031402,0.094907,0.050802,-0.072691,-0.099524,-0.045737,0.0045196,-0.018732,-0.019159,-0.048739,-0.13474,-0.091336,-0.1396,-0.06222,0.077316,0.016965,0.096099,0.064925,-0.053479,0.017595,0.16911,0.089661,0.42091
