Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56,Neuron 57
5.001,-2.3553,0.094778,1,0.13591,1.3028,0.054,0.94369,-0.074754,0.85052,-0.15152,1.1817,-0.091414,-0.082575,0.034631,0.021785,0.099517,-0.14764,-0.011801,-0.060729,0.81766,1.5519,-0.085026,0.095728,-0.0035733,-0.032945,0.49896,-0.025789,-0.025789,0.070728,-0.092173,-0.18148,0.020218,0.41479,0.86635,0.19712,1.4076,0.033072,1.0312,0.86137,-0.05382,0.096502,0.017562,0.72533,0.93333,0.4537,0.24339,0.36956,0.37268,0.26501,-0.08341,0.53009,0.12904,0.062919,2.1851,0.38925,0.079131,0.33251,-0.20961,0.27339,1.7894
5.167,-2.3519,0.098374,1,0.085323,1.3409,0.18529,0.94281,-0.0047226,0.89235,-0.16399,1.2437,-0.02133,-0.055356,0.037508,0.073588,0.1257,-0.10088,0.02127,-0.05602,0.86033,1.7072,-0.039915,0.19958,-0.02536,-0.017601,0.68259,0.018401,0.018401,0.079843,-0.05308,-0.2018,0.05623,0.35611,0.61823,0.1436,1.3383,0.14882,0.99624,0.81966,-0.022996,0.071815,0.17693,0.77973,1.0143,0.46755,0.16473,0.31103,0.28463,0.5106,-0.15027,0.46467,0.051691,0.017135,2.2335,0.31561,0.0059577,0.35881,-0.19111,0.38266,1.784
5.331,-2.3297,0.10431,1,0.062281,1.2849,0.31735,0.86959,0.10038,0.90586,-0.16736,1.3248,0.072956,0.057552,0.029618,0.18659,0.11658,-0.075033,0.041276,-0.054556,0.79836,1.8981,-0.036697,0.2707,-0.048784,-0.036967,0.85361,0.053715,0.053715,0.098701,-0.024676,-0.0986,0.082584,0.24789,0.62224,0.090087,1.2589,0.26456,0.90318,0.77796,0.0806,0.069012,0.37364,0.72786,1.0887,0.50784,0.12317,0.23273,0.1952,0.78471,-0.17377,0.39005,0.020947,-0.024784,2.3307,0.24197,-0.067215,0.30931,-0.18345,0.50556,1.8166
5.497,-2.3159,0.10894,1,0.020919,1.2289,0.43406,0.72127,0.17548,0.9179,-0.16437,1.3686,0.1529,0.1944,0.023086,0.20809,0.10175,-0.062736,0.031517,-0.00074017,0.70411,1.9323,-0.064777,0.31688,-0.034034,-0.064557,0.97188,0.077099,0.077099,0.12148,-0.020404,0.0045602,0.12906,0.13837,0.62624,0.057116,1.1763,0.33943,0.70086,0.76324,0.21561,0.094198,0.53795,0.64064,1.1153,0.78323,0.050872,0.16758,0.14539,0.89021,-0.17513,0.33605,0.067931,0.0025844,2.4046,0.16373,-0.090322,0.2226,-0.19826,0.61854,1.8404
5.667,-2.2967,0.10954,1,0.017041,1.4138,0.47699,0.57294,0.25487,0.92094,-0.15432,1.4321,0.2079,0.33482,-0.042685,0.22959,0.077704,-0.054019,0.026368,0.060079,0.59711,1.9346,-0.085007,0.35869,0.039307,-0.10712,0.94422,0.086973,0.086973,0.12171,0.0029696,0.092494,0.066071,0.02668,0.59518,0.031319,0.97808,0.3598,0.48397,0.74852,0.35865,0.16601,0.63369,0.61286,1.1003,1.0752,0.069049,0.079479,0.12136,0.9597,-0.10231,0.28205,0.1222,0.029953,2.3414,0.092579,-0.11595,0.10516,-0.22275,0.72793,1.8571
5.834,-2.2814,0.11189,1,-0.024322,1.6011,0.50631,0.42364,0.30289,0.87328,-0.141,1.4502,0.25354,0.4464,-0.10538,0.32119,0.066439,-0.051984,0.024704,0.12339,0.51235,1.9523,-0.11449,0.35627,0.12438,-0.14969,0.85222,0.1039,0.1039,0.10589,0.00271,0.1556,0.074579,-0.041191,0.56412,0.010664,0.85005,0.36731,0.30864,0.65885,0.51,0.20246,0.77201,0.6175,1.016,1.4362,0.18172,0.021543,0.11116,1.024,0.050494,0.2829,0.16918,0.053959,2.2783,0.021373,-0.13743,-0.012279,-0.24321,0.8362,1.8345
5.997,-2.284,0.11629,1,-0.047182,1.7951,0.46775,0.28409,0.31589,0.82562,-0.12592,1.445,0.2801,0.51382,-0.14307,0.41279,0.060992,-0.049702,0.0072851,0.18961,0.42752,1.97,-0.14052,0.34451,0.20945,-0.17292,0.75902,0.12083,0.12083,0.093457,-0.0018222,0.20569,-0.023362,-0.077152,0.53122,0.042874,0.79567,0.36558,0.17134,0.59714,0.64771,0.24532,0.89798,0.60471,0.97475,1.7921,0.29439,-0.027951,0.10555,1.0116,0.2097,0.3134,0.19395,0.079725,2.2104,0.0056492,-0.13969,-0.10114,-0.26367,0.9472,1.8055
6.165,-2.273,0.12608,1,-0.092973,2.0148,0.42602,0.14903,0.29381,0.7789,-0.11582,1.4206,0.28247,0.52546,-0.17595,0.44468,0.079591,-0.04742,-0.0015285,0.24226,0.40278,1.917,-0.17702,0.33521,0.29814,-0.17911,0.63491,0.14249,0.14249,0.078189,-0.014135,0.13296,-0.021347,-0.082809,0.50054,0.045443,0.74424,0.36385,0.084736,0.53499,0.7503,0.27481,0.99396,0.69086,0.90981,2.0971,0.2846,-0.045602,0.33387,0.96292,0.33213,0.31424,0.21703,0.11181,2.2163,-0.009091,-0.14195,-0.13482,-0.28634,1.0664,1.7702
6.334,-2.269,0.12964,1,-0.11925,1.8324,0.38096,0.086047,0.26494,0.81369,-0.11209,1.4165,0.26958,0.53297,-0.23472,0.47406,0.1473,-0.044168,0.0014094,0.23817,0.38571,1.8321,-0.19008,0.3647,0.38776,-0.17627,0.60284,0.15329,0.15329,0.065756,-0.025268,0.060229,0.011132,-0.10968,0.46986,0.047074,0.66409,0.39598,0.073209,0.5016,0.81001,0.29439,1.0543,0.76286,0.86734,2.1489,0.24515,-0.062801,0.31263,0.91427,0.44203,0.30941,0.18676,0.11477,2.2695,-0.015504,-0.13555,-0.15171,-0.29863,1.1642,1.7377
6.498,-2.2607,0.12344,1,-0.16741,1.7862,0.31802,-0.022391,0.23519,0.83842,-0.12406,1.3889,0.25579,0.52031,-0.2402,0.51037,0.21933,-0.040917,-0.0037478,0.22401,0.38018,1.7791,-0.19882,0.40177,0.42592,-0.16297,0.53207,0.15129,0.15129,0.06987,-0.064862,0.011224,0.12298,-0.13438,0.46838,0.022614,0.60313,0.42811,0.080737,0.40703,0.86168,0.29081,1.1147,0.74825,0.84859,2.147,0.17874,-0.05742,0.23334,0.87966,0.52842,0.30458,0.14921,0.1436,2.3923,-0.024571,-0.12892,-0.13787,-0.31046,1.2244,1.7067
